source,category,action,destination,note
/college/notre-dame/under-the-lights-usc-vs-nd,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/verifiable-speed-is-the-mantra-of-nds-2020-recruiting-class,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/video-notre-dame-2019-regular-season-recap,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/watch-2021-nd-qb-commit-is-on-fire,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/what-notre-dame-has-to-do-against-duke,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/where-does-notre-dame-go-from-here,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/who-the-hell-is-brendon-clark,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/who-the-hell-is-phil-jurkovec,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/why-brian-kellys-worst-ranked-recruiting-class-may-be-his-best,misc,review,,manual review — does not match WP-style pattern
/college/survive-advance-loyola-chicago-moves-final-four,misc,review,,manual review — does not match WP-style pattern
/college/the-role-of-supplements-in-baseball-injury-recovery,misc,review,,manual review — does not match WP-style pattern
/cubs-latest-2024-prediction,misc,review,,manual review — does not match WP-style pattern
/cubs-news,misc,review,,manual review — does not match WP-style pattern
/cubs-players-arriving-early-working-extra-before-spring-training,misc,review,,manual review — does not match WP-style pattern
/cubs-sign-marcus-stroman-to-71-million-contract,misc,review,,manual review — does not match WP-style pattern
/cubs-win-the-championship,misc,review,,manual review — does not match WP-style pattern
/draftkings-illinois-sportsbook,misc,review,,manual review — does not match WP-style pattern
/draftkings-sportsbook-il,misc,review,,manual review — does not match WP-style pattern
/draftkings-sportsbook-tennessee-sports-betting-app,misc,review,,manual review — does not match WP-style pattern
/everything-about-the-cubs-was-bad-in-opening-day-loss-to-pirates,misc,review,,manual review — does not match WP-style pattern
/fanduel-illinois-sportsbook,misc,review,,manual review — does not match WP-style pattern
/fantasy,misc,review,,manual review — does not match WP-style pattern
/fantasy/1-raven-and-2-colts-are-among-the-waiver-adds-this-week,misc,review,,manual review — does not match WP-style pattern
/fantasy/avoid-the-hype-train-in-fantasy-football-drafts-this-year,misc,review,,manual review — does not match WP-style pattern
/fantasy/best-team-names-of-2018,misc,review,,manual review — does not match WP-style pattern
/fantasy/bold-prediction-travis-benjamin-exploits-the-chiefs-for-a-pair-of-touchdowns,misc,review,,manual review — does not match WP-style pattern
/fantasy/chicago-bears-fantasy-impact-players-for-2018,misc,review,,manual review — does not match WP-style pattern
/fantasy/fantasy-football-5-players-to-watch-in-free-agency,misc,review,,manual review — does not match WP-style pattern
